datetime,latitude,longitude,altitude
2026-04-23T13:37:50.15625Z,54.56053,-6.73814,5661.5
2026-04-23T13:38:50.15625Z,54.56482,-6.73780,5265.8
2026-04-23T13:39:50.15625Z,54.56908,-6.73836,4878.5
2026-04-23T13:40:50.15625Z,54.57330,-6.73918,4499.1
2026-04-23T13:41:50.15625Z,54.57735,-6.73997,4127.3
2026-04-23T13:42:50.15625Z,54.58095,-6.74075,3762.6
2026-04-23T13:43:50.15625Z,54.58410,-6.74159,3404.7
2026-04-23T13:44:50.15625Z,54.58717,-6.74255,3053.4
2026-04-23T13:45:50.15625Z,54.59071,-6.74346,2708.3
2026-04-23T13:46:50.15625Z,54.59514,-6.74414,2369.2
2026-04-23T13:47:50.15625Z,54.60040,-6.74486,2035.8
2026-04-23T13:48:50.15625Z,54.60617,-6.74613,1707.9
2026-04-23T13:49:50.15625Z,54.61216,-6.74840,1385.3
2026-04-23T13:50:50.15625Z,54.61795,-6.75190,1067.7
2026-04-23T13:51:50.15625Z,54.62263,-6.75633,755.0
2026-04-23T13:52:50.15625Z,54.62611,-6.76166,447.1
2026-04-23T13:53:50.15625Z,54.62902,-6.76745,143.6
2026-04-23T13:54:07.5Z,54.62971,-6.76912,57.1
