timestamp_utc,time_source,hhmmss_gps,latitude,longitude,hdop,gps_altitude,pressure_altitude,t_internal,t_external,pressure_kpa
2026-04-12 10:32:15,GPS,103215,54.3535285,-6.650850833333333,0.96,47.4,9.169303185286605,24.8125,22.8125,102.38863914108929
2026-04-12 10:32:47,GPS,103247,54.35354433333333,-6.650843333333333,1.07,54.7,8.784132936648989,24.875,19.8125,102.3933150479745
2026-04-12 10:33:20,GPS,103320,54.353576,-6.650776333333333,0.9,62.3,9.649768575856275,25.125,19.6875,102.38280660836227
2026-04-12 10:33:51,GPS,103351,54.353592666666664,-6.650793,0.74,65.8,9.137323439069688,25.5,19.4375,102.38902736365047
2026-04-12 10:34:25,GPS,103425,54.35362966666667,-6.650750333333333,0.72,70.9,9.886859767688295,25.5,19.5,102.37992857690868
2026-04-12 10:34:55,GPS,103455,54.353642,-6.650767666666667,0.71,64.3,9.389057180001835,25.5625,18.75,102.38597143925016
2026-04-12 10:35:28,GPS,103528,54.35363483333333,-6.650780666666667,0.66,63.9,9.31947440929832,25.8125,19.125,102.3868161326427
2026-04-12 10:35:59,GPS,103559,54.353641,-6.650777166666667,0.66,68.0,9.730638277046676,26.0,19.625,102.38182493001653
2026-04-12 10:36:29,GPS,103629,54.3536395,-6.650771,0.72,63.3,9.533159115829497,26.1875,20.25,102.38422214551963
2026-04-12 10:37:04,GPS,103704,54.353636,-6.650789666666666,0.71,60.4,9.448110243994089,26.5,19.375,102.38525457465192
2026-04-12 10:37:35,GPS,103735,54.353641333333336,-6.6507681666666665,0.77,58.5,9.860755137580412,26.8125,19.4375,102.38024545576476
2026-04-12 10:38:10,GPS,103810,54.3536265,-6.6507735,0.79,53.2,9.815987835917781,27.125,20.1875,102.38078887888705
2026-04-12 10:38:43,GPS,103843,54.35363516666666,-6.650786,0.71,54.6,9.937004163318443,27.375,20.5625,102.37931988640048
2026-04-12 10:39:12,GPS,103912,54.353661833333334,-6.6507423333333335,0.71,52.7,9.601195131301468,27.6875,20.75,102.38339624569585
2026-04-12 10:39:46,GPS,103946,54.3536235,-6.650760833333333,0.69,54.3,10.212657708684207,28.0,21.0,102.375973848014
2026-04-12 10:40:17,GPS,104017,54.3536285,-6.650782666666666,0.67,60.9,9.93062347208119,28.3125,18.9375,102.37939733988227
2026-04-12 10:40:48,GPS,104048,54.3536125,-6.650787833333333,0.67,63.4,10.155368854719631,28.625,19.4375,102.37666924518346
2026-04-12 10:41:19,GPS,104119,54.35362033333333,-6.650786166666666,0.63,61.5,10.239749271948252,29.0,19.125,102.37564500010028
2026-04-12 10:41:51,GPS,104151,54.353627333333336,-6.6507865,0.69,61.3,10.044665921448278,29.25,19.0625,102.37801301664874
2026-04-12 10:42:25,GPS,104225,54.3536495,-6.650779666666667,0.63,51.9,10.185778890916257,29.5625,18.8125,102.37630011438546
2026-04-12 10:42:57,GPS,104257,54.35365216666667,-6.650765166666667,0.67,53.5,10.171600911390735,29.875,18.8125,102.37647221299086
2026-04-12 10:43:30,GPS,104330,54.3536235,-6.6507673333333335,0.67,54.2,10.250879821830978,30.1875,19.5,102.37550989341203
2026-04-12 10:44:02,GPS,104402,54.353625,-6.650778,0.63,55.1,10.08006063819425,30.4375,19.3125,102.37758337507636
2026-04-12 10:44:32,GPS,104432,54.35362583333333,-6.650740833333334,0.67,56.2,10.675593421765134,30.6875,18.75,102.37035467214713
2026-04-12 10:45:05,GPS,104505,54.353646833333336,-6.6507175,0.8,53.3,10.192573180610333,30.9375,17.875,102.37621764236602
2026-04-12 10:45:36,GPS,104536,54.3536195,-6.650638833333334,0.67,63.2,10.065809953043098,31.1875,17.625,102.37775635797108
2026-04-12 10:46:09,GPS,104609,54.3536415,-6.6506161666666666,0.66,59.4,10.601184153181872,31.375,17.8125,102.37125784499932
2026-04-12 10:46:42,GPS,104642,54.3535955,-6.650703833333333,0.66,61.7,10.16820612613256,31.625,19.125,102.3765134204351
2026-04-12 10:47:13,GPS,104713,54.35359416666667,-6.650735833333333,0.81,64.4,10.274442477843708,31.75,20.25,102.3752238817458
2026-04-12 10:47:44,GPS,104744,54.35357716666667,-6.650692833333333,0.73,61.3,10.087089576738244,31.9375,20.0,102.37749805392288
2026-04-12 10:48:15,GPS,104815,54.35357666666667,-6.650710166666666,0.66,60.1,10.19424320805284,32.0625,20.1875,102.37619737086064
2026-04-12 10:48:47,GPS,104847,54.35357716666667,-6.650711,0.66,59.8,10.384794133643869,32.25,20.625,102.37388440380036
2026-04-12 10:49:20,GPS,104920,54.353599833333334,-6.650721333333333,0.63,62.9,9.971730552760215,32.4375,19.9375,102.37889835300157
2026-04-12 10:49:51,GPS,104951,54.353565833333334,-6.650682,0.66,68.7,10.480112269717932,32.625,20.75,102.37272741816513
2026-04-12 10:50:22,GPS,105022,54.35356183333333,-6.650683166666667,0.65,69.1,10.328996135490833,32.8125,21.625,102.37456169306857
2026-04-12 10:50:57,GPS,105057,54.353588333333335,-6.6507355,0.7,63.1,10.175710846062684,32.9375,22.0,102.37642232475633
2026-04-12 10:51:27,GPS,105127,54.35360433333334,-6.650706166666667,0.66,68.5,10.225078678948185,33.125,22.0,102.37582307734809
2026-04-12 10:51:59,GPS,105159,54.353586666666665,-6.650709166666667,0.65,65.2,10.08613526674305,33.25,21.1875,102.3775096378634
2026-04-12 10:52:28,GPS,105228,0.0,0.0,0.0,0.0,9.821394132801828,33.4375,20.3125,102.38072325258894
2026-04-12 10:53:02,GPS,105302,54.35360883333333,-6.6507475,0.73,57.1,10.416724592438594,33.5625,19.75,102.37349682598902
2026-04-12 10:53:33,GPS,105333,54.353598833333336,-6.650754666666667,0.66,59.9,10.404770653990747,33.75,20.375,102.3736419249645
2026-04-12 10:53:58,GPS,105358,0.0,0.0,0.0,0.0,10.17037634077109,33.9375,21.375,102.37648707738326
2026-04-12 10:54:40,GPS,105440,54.35361266666666,-6.650797,0.66,59.0,11.091631051380501,34.0625,20.3125,102.36530496458226
2026-04-12 10:55:18,GPS,105518,54.35360433333334,-6.650764666666666,0.63,63.6,11.608264012307178,34.1875,18.75,102.35903454962961
2026-04-12 10:55:48,GPS,105548,54.353608333333334,-6.650785166666667,0.66,60.5,10.27220186677842,34.3125,18.1875,102.37525107902984
2026-04-12 10:56:16,GPS,105616,0.0,0.0,0.0,0.0,11.111833319923447,34.4375,17.875,102.3650597622141
2026-04-12 10:56:52,GPS,105652,54.3535965,-6.6507455,0.69,60.0,9.500968614547036,34.5,17.25,102.3846129129251
2026-04-12 10:57:24,GPS,105724,54.3536275,-6.650737166666667,0.7,52.2,9.831793317836574,34.5,16.4375,102.38059701840055
2026-04-12 10:57:56,GPS,105756,54.3536115,-6.650707,0.66,60.3,9.847511866360135,34.625,16.375,102.3804062134749
2026-04-12 10:58:29,GPS,105829,54.353611,-6.650736333333334,0.66,64.3,10.15699308619037,34.625,16.3125,102.37664952949874
2026-04-12 10:58:57,GPS,105857,54.3536025,-6.650729833333333,0.73,64.0,9.856706907874774,34.625,16.375,102.38029459648233
2026-04-12 10:59:29,GPS,105929,54.35360816666667,-6.650739,0.68,62.8,9.931799242710838,34.625,16.3125,102.37938306751762
2026-04-12 11:00:00,GPS,110000,54.353603166666666,-6.650760666666667,0.66,61.4,10.003552332268157,34.5625,16.125,102.37851207903988
2026-04-12 11:00:31,GPS,110031,54.35356983333333,-6.6507715,0.7,58.8,9.98995632400669,34.4375,15.75,102.37867711630246
2026-04-12 11:01:04,GPS,110104,54.353568,-6.650754666666667,0.72,56.7,9.53334123712926,34.3125,16.0,102.38421993471356
2026-04-12 11:01:36,GPS,110136,54.35356633333333,-6.650754833333333,0.66,55.9,10.294458441647041,34.1875,16.9375,102.37498092156422
2026-04-12 11:02:07,GPS,110207,54.3535965,-6.650721333333333,0.73,57.7,9.983165392982684,34.0625,17.625,102.37875954915638
2026-04-12 11:02:40,GPS,110240,54.35358133333333,-6.650731166666667,0.67,61.2,9.788240996748922,34.0,17.9375,102.38112569450686
2026-04-12 11:03:10,GPS,110310,54.35359116666667,-6.650718333333334,0.67,63.7,10.072635991218233,33.9375,18.4375,102.37767349962064
2026-04-12 11:03:42,GPS,110342,54.35358683333333,-6.650724833333333,0.7,63.7,10.20275306283035,33.875,18.9375,102.37609407466455
2026-04-12 11:04:12,GPS,110412,54.35358766666667,-6.6507445,0.6,63.5,10.21754712610208,33.875,19.5625,102.3759144983037
2026-04-12 11:04:46,GPS,110446,54.353599333333335,-6.650744333333334,0.61,62.2,10.518511249760708,33.875,19.875,102.37226132865705
2026-04-12 11:05:16,GPS,110516,54.353603166666666,-6.650765833333333,0.62,60.4,10.146018862016073,33.8125,20.5,102.37678273984795
2026-04-12 11:05:51,GPS,110551,54.35360633333333,-6.650768833333333,0.66,60.5,10.033090814724645,33.8125,19.75,102.37815352231517
2026-04-12 11:06:23,GPS,110623,54.353602,-6.6507586666666665,0.59,61.1,10.46401852839688,33.875,17.875,102.37292276563498
2026-04-12 11:06:55,GPS,110655,54.3536125,-6.651486,0.6,144.2,84.22104763367275,33.8125,16.625,101.48081573085071
2026-04-12 11:07:30,GPS,110730,54.35417666666667,-6.6541065,0.59,384.0,305.2823599424272,33.625,13.4375,98.84466393474646
